datetime,zone_id,zone_name,zone_type,predicted
2026-03-02 01:00:00,1,Центр-Кремль,center,100.48861365638692
2026-03-02 01:00:00,2,Центр-Арбат,center,89.0483983778466
2026-03-02 01:00:00,3,Москва-Сити,business,35.58042129768029
2026-03-02 01:00:00,4,Тверская,business,11.892380037516086
2026-03-02 01:00:00,5,Хамовники,residential,15.89839057794649
2026-03-02 01:00:00,6,Замоскворечье,residential,14.81698805747057
2026-03-02 01:00:00,7,Таганка,residential,2.596338896947903
2026-03-02 01:00:00,8,Пресня,residential,15.984759395142508
2026-03-02 01:00:00,9,Сокольники,residential,2.6943280378418
2026-03-02 01:00:00,10,Марьино,suburb,5.6297110453356
2026-03-02 01:00:00,11,Бутово,suburb,10.082897085170023
2026-03-02 01:00:00,12,Митино,suburb,5.878160236196465
2026-03-02 01:00:00,13,Жулебино,suburb,8.91958376907382
2026-03-02 01:00:00,14,Солнцево,suburb,3.477876285641425
2026-03-02 01:00:00,15,Шереметьево,airport,91.80071344821187
2026-03-02 01:00:00,16,Домодедово,airport,138.0801093161762
2026-03-02 01:00:00,17,Внуково,airport,118.20558440359143
2026-03-02 01:00:00,18,Ленинградский вокзал,station,60.08609921277633
2026-03-02 01:00:00,19,Казанский вокзал,station,20.878836532482687
2026-03-02 01:00:00,20,Курский вокзал,station,51.62400374100871
2026-03-02 02:00:00,1,Центр-Кремль,center,79.9155983098544
2026-03-02 02:00:00,2,Центр-Арбат,center,73.34976468284472
2026-03-02 02:00:00,3,Москва-Сити,business,30.88882836346564
2026-03-02 02:00:00,4,Тверская,business,12.257297328839153
2026-03-02 02:00:00,5,Хамовники,residential,11.970026844627256
2026-03-02 02:00:00,6,Замоскворечье,residential,14.79667293657264
2026-03-02 02:00:00,7,Таганка,residential,2.36325582934973
2026-03-02 02:00:00,8,Пресня,residential,12.1446207542009
2026-03-02 02:00:00,9,Сокольники,residential,2.5027752940674564
2026-03-02 02:00:00,10,Марьино,suburb,6.543960206683173
2026-03-02 02:00:00,11,Бутово,suburb,8.308302644469133
2026-03-02 02:00:00,12,Митино,suburb,8.832577186860712
2026-03-02 02:00:00,13,Жулебино,suburb,9.369724496220648
2026-03-02 02:00:00,14,Солнцево,suburb,3.2126724354978857
2026-03-02 02:00:00,15,Шереметьево,airport,90.99470719404783
2026-03-02 02:00:00,16,Домодедово,airport,138.24141577069614
2026-03-02 02:00:00,17,Внуково,airport,116.27924357341954
2026-03-02 02:00:00,18,Ленинградский вокзал,station,23.049088351534294
2026-03-02 02:00:00,19,Казанский вокзал,station,11.47459923747291
2026-03-02 02:00:00,20,Курский вокзал,station,20.409001348658766
2026-03-02 03:00:00,1,Центр-Кремль,center,82.2551958295216
